Rank,Score,Title,Date,Views,20K+,2024+,Keywords,URL
A,76.0,Exploring and Transforming Data with the Palantir MCP,20260218,354,,✓,"AIP,Foundry",https://www.youtube.com/watch?v=vhm-eYo2C-w
A,76.0,Experiments in AIP Logic,20260211,755,,✓,"AIP,Foundry,Demo",https://www.youtube.com/watch?v=Ok6Ld1nGDC0
A,76.0,Extracting a Table from a PDF Using an LLM,20260204,1085,,✓,"AIP,Foundry,Demo",https://www.youtube.com/watch?v=3bexc7vDZ-Q
A,76.0,AIP Study Buddy: Building an AIP-Powered Flashcard App in Foundry,20260128,897,,✓,"AIP,Foundry,Demo",https://www.youtube.com/watch?v=Yztrx5Vi8VI
A,76.0,Automatically Generating Test Cases in AIP Logic,20260121,529,,✓,"AIP,Foundry,Demo",https://www.youtube.com/watch?v=rZqgi1L5O_4
A,76.0,Deep Dive: Creating Your First Data Connection (update),20260114,1236,,✓,"AIP,Foundry,Tutorial",https://www.youtube.com/watch?v=e6dArAULLQ4
A,76.0,Speedrun: Data Science Fundamentals  (update),20260114,793,,✓,"Pipeline,AIP,Foundry",https://www.youtube.com/watch?v=qeYFbOeDL2E
A,76.0,Speedrun: Mining your First Business Process (update),20260114,651,,✓,"AIP,Foundry,Tutorial",https://www.youtube.com/watch?v=TTYHAtQ4ROw
A,76.0,Speedrun: Your First End to End Workflow (update),20260114,5523,,✓,"AIP,Foundry,Tutorial",https://www.youtube.com/watch?v=pZUc7PzYWdg
A,76.0,Deep Dive  Building Your First Application (update),20260114,1325,,✓,"AIP,Foundry,Tutorial",https://www.youtube.com/watch?v=pVO7g75Y_zM
A,76.0,Plotting Moving Reindeer on a Map:  An Ontologize Holiday Special,20251217,1635,,✓,"AIP,Foundry,Demo",https://www.youtube.com/watch?v=I16uKEiSo8A
A,76.0,Parsing a User Input into Multiple Objects using AIP,20251210,1309,,✓,"AIP,Foundry,Demo",https://www.youtube.com/watch?v=3oledWyxl0g
A,76.0,Creating and Using Image Embeddings in Pipeline Builder,20251203,863,,✓,"Pipeline,AIP,Foundry",https://www.youtube.com/watch?v=Us9_97Cj90o
A,76.0,Using an AIP Logic Function in a Notepad Template,20251126,1096,,✓,"AIP,Foundry,Demo",https://www.youtube.com/watch?v=TjL6By6ylM0
A,76.0,Building a Document Search App in Workshop,20251113,1652,,✓,"AIP,Foundry,Demo",https://www.youtube.com/watch?v=oE-ULq5RsFY
A,76.0,Using the AIP Generated Content Widget in Workshop,20251112,1004,,✓,"AIP,Foundry,Demo",https://www.youtube.com/watch?v=JmCAjPRvreM
A,76.0,Tool Use in AIP Logic: Actions,20251105,1466,,✓,"AIP,Demo,How to",https://www.youtube.com/watch?v=p5VCluFpebo
A,76.0,Halloween Edition: RAG (Retrieval Augmented Ghouling),20251029,1010,,✓,"Pipeline,AIP,Foundry",https://www.youtube.com/watch?v=uMXBcHMgWRU
A,76.0,Semantic Search in AIP Logic,20251022,1407,,✓,"AIP,Foundry,Demo",https://www.youtube.com/watch?v=s0Ueq_pLXcM
A,76.0,Improving Object Queries AIP Logic Using Ontology Metadata,20251015,1178,,✓,"AIP,Foundry,Demo",https://www.youtube.com/watch?v=2i_b7kdrLzs
A,76.0,Tool Use in AIP Logic:  Object Queries,20251008,1425,,✓,"AIP,Foundry,Demo",https://www.youtube.com/watch?v=r_qZK6P_hqw
A,76.0,Building a Dynamic Knowledge Corpus with On The Fly Embedding Computation,20251001,1329,,✓,"AIP,Foundry,Demo",https://www.youtube.com/watch?v=hid0jbNO9ck
A,76.0,Adding Application Context to an AIP Agent,20250924,1243,,✓,"AIP,Foundry,Demo",https://www.youtube.com/watch?v=tc-zWaujRik
A,76.0,Deep Dive:  Data Analysis in Quiver,20250918,3784,,✓,"AIP,Foundry,Tutorial",https://www.youtube.com/watch?v=FGLlWLxfH-c
A,76.0,Introduction to AIP Agents,20250916,3536,,✓,"AIP,Foundry,Demo",https://www.youtube.com/watch?v=sr1oRPGKlTQ
A,76.0,Preparing PDFs for RAG Workflows,20250913,2897,,✓,"AIP,Foundry,Demo",https://www.youtube.com/watch?v=Dy6AfucqbBI
A,76.0,Deep Dive: Building Your First Application,20250913,6124,,✓,"AIP,Foundry,Tutorial",https://www.youtube.com/watch?v=NWnI-8c_Fvs
A,76.0,Speedrun: Data Science Fundamentals,20250912,2166,,✓,"Pipeline,AIP,Foundry",https://www.youtube.com/watch?v=ME3LZrS4kUg
A,76.0,Deep Dive: Transforming your Data with Code Repositories,20250912,2591,,✓,"AIP,Foundry,Tutorial",https://www.youtube.com/watch?v=vTiczH005E4
A,76.0,Deep Dive: Creating Your First Ontology,20250912,11916,,✓,"Pipeline,AIP,Foundry",https://www.youtube.com/watch?v=wP5g8uXvPbg
A,76.0,Deep Dive: Building Your First Pipeline,20250912,4584,,✓,"Pipeline,AIP,Foundry",https://www.youtube.com/watch?v=MG3KRXCfNaU
A,76.0,Speedrun: Your First AIP Workflow,20250912,4286,,✓,"Pipeline,AIP,Foundry",https://www.youtube.com/watch?v=xBLVVhVv75U
A,76.0,Deep Dive: Creating Your First Data Connection,20250912,3541,,✓,"AIP,Foundry,Tutorial",https://www.youtube.com/watch?v=VIsNafgA6-0
A,76.0,Speedrun: Your First End-to-End Workflow,20250912,17757,,✓,"Pipeline,AIP,Foundry",https://www.youtube.com/watch?v=6kXdjW4KnHc
A,76.0,Deep Dive: Data Analysis in Contour,20250912,1577,,✓,"AIP,Foundry,Tutorial",https://www.youtube.com/watch?v=wnMOY0Ezo6o
A,76.0,Speedrun: Mining Your First Business Process,20250912,2051,,✓,"AIP,Foundry,Tutorial",https://www.youtube.com/watch?v=JDGEtv_X3lE
A,76.0,Speedrun: Your First Agentic AIP Workflow,20250903,4417,,✓,"AIP,Foundry",https://www.youtube.com/watch?v=3Rt5NaPexPU
A,76.0,Parsing a User-Uploaded PDF in Foundry,20250827,2324,,✓,"AIP,Foundry,Demo",https://www.youtube.com/watch?v=YcLvnmkTgEw
A,76.0,Creating an AIP Agent in Foundry with  a Memory,20250820,1917,,✓,"AIP,Foundry,Demo",https://www.youtube.com/watch?v=Fn_tgHDhgsU
A,76.0,Building a Choropleth Map in Foundry,20250813,1296,,✓,"AIP,Foundry,Demo",https://www.youtube.com/watch?v=mux9V-iAx_s
A,76.0,Plotting Railroads on a Map in Foundry,20250806,1410,,✓,"AIP,Foundry,Demo",https://www.youtube.com/watch?v=3poQx9WabGU
A,76.0,Parsing JSON in Foundry using Pipeline Builder,20250730,1398,,✓,"Pipeline,AIP,Foundry",https://www.youtube.com/watch?v=LhRXEoAQjS0
A,76.0,Applying Actions in AIP Logic: Tool Use versus Action Blocks,20250716,1946,,✓,"AIP,Foundry",https://www.youtube.com/watch?v=mCOvUImg2U8
A,76.0,Entity Extraction in Pipeline Builder,20250709,1910,,✓,"Pipeline,AIP,Foundry",https://www.youtube.com/watch?v=5NShigykqSU
A,76.0,Building a Visual Semantic Search,20250702,1694,,✓,"AIP,Foundry,Demo",https://www.youtube.com/watch?v=yER32U_cjQI
A,76.0,Using Looping in AIP Logic for Ontology Edits,20250625,1436,,✓,"AIP,Foundry,Demo",https://www.youtube.com/watch?v=nw5BT4yb818
A,76.0,Using Looping for Transformations in AIP Logic,20250618,959,,✓,"AIP,Foundry,How to",https://www.youtube.com/watch?v=7Lb5Psx2FX4
A,76.0,Tool Use in AIP Agents: Object Queries,20250611,2561,,✓,"AIP,Foundry,Demo",https://www.youtube.com/watch?v=o9NWiJIB1tg
A,76.0,Extracting a Table from an Image in Pipeline Builder,20250604,1106,,✓,"Pipeline,AIP,Foundry",https://www.youtube.com/watch?v=ScDr-hMd1yc
A,76.0,Tool Use in AIP Agents: Actions,20250528,2124,,✓,"AIP,Foundry,Demo",https://www.youtube.com/watch?v=729NKjWORlQ
A,76.0,Extracting a Table from a PDF Using Pipeline Builder,20250521,2639,,✓,"Pipeline,AIP,Foundry",https://www.youtube.com/watch?v=_bsFSgMVXT4
A,76.0,Introduction to Evaluations in AIP Logic,20250514,1839,,✓,"AIP,Foundry,Demo",https://www.youtube.com/watch?v=1F9tSbH1nic
A,76.0,Publishing a Machine Learning Model from Code Workspaces,20250430,1703,,✓,"AIP,Foundry,Demo",https://www.youtube.com/watch?v=5X4i3-9EokM
A,76.0,Deploying a Live Machine Learning Model in Foundry,20250423,2870,,✓,"AIP,Foundry,Demo",https://www.youtube.com/watch?v=TRIOCHJ6wdw
A,76.0,Using Media Set Inputs in AIP Logic,20250416,1971,,✓,"AIP,Foundry",https://www.youtube.com/watch?v=GBza2yuLi88
A,76.0,Deep Dive: Data Protection Tools in Foundry,20250409,1959,,✓,"AIP,Foundry,Tutorial",https://www.youtube.com/watch?v=PgB0z8t9pXM
A,76.0,Speedrun: Mining Your First Business Process,20250402,2104,,✓,"AIP,Foundry",https://www.youtube.com/watch?v=yjosDZg5hcY
A,76.0,Speedrun: Your First Ontology Function,20250326,6511,,✓,"AIP,Foundry,Workshop",https://www.youtube.com/watch?v=vu9oMVPNkZk
A,76.0,Introduction to AIP Agents,20250319,6059,,✓,"AIP,Foundry,Demo",https://www.youtube.com/watch?v=6HTgMkirqN0
A,76.0,End-to-End RAG Workflow Using Pipeline Builder and AIP Logic,20250312,7036,,✓,"Pipeline,AIP,Foundry",https://www.youtube.com/watch?v=wql_XPHbFkI
A,76.0,Build with Us: Sending your Contour Dashboard on a Schedule,20250305,1246,,✓,"AIP,Foundry,Demo",https://www.youtube.com/watch?v=kq5pVJg29cQ
A,76.0,Image Classification in Pipeline Builder,20250226,1564,,✓,"Pipeline,AIP,Foundry",https://www.youtube.com/watch?v=_ujvA5b6JFc
A,76.0,Deep Dive: Data Analysis in Quiver,20250220,3375,,✓,"AIP,Foundry,Workshop",https://www.youtube.com/watch?v=q46EmKSijTs
A,76.0,Introduction to Machine Learning Operations,20250212,5465,,✓,"AIP,Foundry,Demo",https://www.youtube.com/watch?v=h3my5M-HZIM
A,76.0,Build with Me: Advanced Dashboarding & Reporting in Contour,20250206,4522,,✓,"AIP,Foundry",https://www.youtube.com/watch?v=L7ztCFbhDYA
A,76.0,Building a RAG workflow with AIP Logic,20250128,7328,,✓,"AIP,Foundry,Workshop",https://www.youtube.com/watch?v=YB4ev1hGVN0
A,76.0,Interacting with HuggingFace Using Webhooks,20250122,2405,,✓,"AIP,Foundry,Demo",https://www.youtube.com/watch?v=5CM_Kvig1eA
A,76.0,Creating and using a Quiver Dashboard Template,20250115,2910,,✓,"AIP,Foundry,Demo",https://www.youtube.com/watch?v=IeHV4D90N2I
A,76.0,Conditional Formatting in the Ontology,20250108,1510,,✓,"AIP,Foundry,Demo",https://www.youtube.com/watch?v=U_6ztLKUdbU
A,70.0,Intro to Charts in Workshop,20241218,3798,,✓,"AIP,Foundry,Demo",https://www.youtube.com/watch?v=m15HgAYro7I
A,70.0,Conditional Visibility in Workshop,20241211,3167,,✓,"AIP,Foundry,Demo",https://www.youtube.com/watch?v=AdhGn7UY1Ec
A,70.0,Applied Notional Project,20241204,8401,,✓,"Pipeline,AIP,Foundry",https://www.youtube.com/watch?v=ZeapLGUJSMw
A,70.0,Quiver Visual Functions,20241115,2152,,✓,"AIP,Foundry,Tutorial",https://www.youtube.com/watch?v=pcYk_GAfLdM
A,70.0,From Excel Worksheets to Scheduled Reporting,20241024,2808,,✓,"AIP,Foundry,Tutorial",https://www.youtube.com/watch?v=KrSqpeFb8xE
A,70.0,Intro to Object Explorer,20241016,3331,,✓,"AIP,Foundry,Tutorial",https://www.youtube.com/watch?v=YuT96FVeDuc
A,70.0,Build with Us | Speedrun: Creating Your First Data Connection,20241011,8116,,✓,"AIP,Foundry,Tutorial",https://www.youtube.com/watch?v=ofwAPNiDo48
A,70.0,Build with Us | Deep Dive: Speedrun Your FIrst AIP Workflow,20240926,16599,,✓,"Pipeline,AIP,Foundry",https://www.youtube.com/watch?v=kcMgaLi3Yqs
A,78.0,Build with Us | Deep Dive: Your first Ontology,20240919,27308,✓,✓,"AIP,Foundry,Tutorial",https://www.youtube.com/watch?v=SOW0IA_I0bk
A,78.0,Build with Us | Deep Dive: Building your first application,20240911,24231,✓,✓,"AIP,Foundry,Tutorial",https://www.youtube.com/watch?v=Uh0zpMUR6wY
A,70.0,Build with Us | Deep Dive: Data Analysis in Contour,20240905,9842,,✓,"AIP,Foundry,Tutorial",https://www.youtube.com/watch?v=46wwI9MA2Cg
A,78.0,Build with Us: Speedrun Your First End-to-End Workflow,20240828,44937,✓,✓,"AIP,Foundry,Tutorial",https://www.youtube.com/watch?v=f61gXVH-QZE
A,70.0,Intro to Code Workbooks,20240823,4060,,✓,"AIP,Foundry,Tutorial",https://www.youtube.com/watch?v=R-E1zPaSgQ8
A,70.0,Intro to Notepad,20240815,2768,,✓,"AIP,Foundry,Tutorial",https://www.youtube.com/watch?v=ElEtTvrBSxA
A,70.0,Intro to Code Workspaces,20240807,2949,,✓,"AIP,Foundry,Tutorial",https://www.youtube.com/watch?v=DHLP00_PhQY
A,70.0,Build with Us | Deep Dive: Building Your First Pipeline,20240731,12478,,✓,"Pipeline,AIP,Foundry",https://www.youtube.com/watch?v=I9iOqre7gqk
A,70.0,Intro to Data Lineage,20240724,5972,,✓,"AIP,Foundry,Tutorial",https://www.youtube.com/watch?v=gdU_tzcNhbo
A,70.0,Navigating in Foundry,20240724,1848,,✓,"AIP,Foundry,Demo",https://www.youtube.com/watch?v=zbsTY6yu2L8
A,70.0,Intro to Code Repositories for Python Transforms,20240716,6339,,✓,"AIP,Foundry,Tutorial",https://www.youtube.com/watch?v=Etr_hK75iRU
B,55.0,Virtual Tables in Foundry,20231020,2060,,,"Pipeline,Foundry,Tutorial",https://www.youtube.com/watch?v=p8hQON-pBtM
B,55.0,How to use Contour's SQL Expressions Board,20230815,3441,,,"Foundry,Tutorial,How to",https://www.youtube.com/watch?v=aM3fBQ7DL3E
B,55.0,Using Saved Object Sets in Workshop,20230808,1973,,,"Foundry,Tutorial,Workshop",https://www.youtube.com/watch?v=E7t6ekuh_RM
B,55.0,Securing PII Data in Palantir Foundry,20230801,2026,,,"Foundry,Tutorial,How to",https://www.youtube.com/watch?v=a6evESSwZaA
B,55.0,Data Connection in 10min,20230718,10753,,,"Pipeline,Foundry,Tutorial",https://www.youtube.com/watch?v=WCt7dN_-5wg
B,63.0,Intro to Foundry Pipeline Builder,20230711,28423,✓,,"Pipeline,Foundry,Tutorial",https://www.youtube.com/watch?v=WIQA7u1tbsY
B,55.0,Palantir Foundry: Contour 101,20230612,19543,,,"Foundry,How to",https://www.youtube.com/watch?v=3yzenPa5jOQ
B,55.0,Object Sets 101,20230531,5136,,,Foundry,https://www.youtube.com/watch?v=PTt2G6Xnxow
